match_id,team,outcome,wide_progression_share,build_up_share
7480,OL Reign,Win,0.49122807017543857,0.3972267536704731
7480,Utah Royals,Loss,0.42920353982300885,0.6054298642533936
7494,Houston Dash,Loss,0.4413145539906103,0.4212488350419385
7494,Utah Royals,Win,0.36212624584717606,0.5199556541019955
7497,Chicago Red Stars,Draw,0.37872340425531914,0.2652892561983471
7497,North Carolina Courage,Draw,0.45934959349593496,0.42505947660586835
7521,NJ/NY Gotham FC,Loss,0.42857142857142855,0.3422131147540984
7521,Utah Royals,Win,0.5,0.3856317093311313
7522,Houston Dash,Draw,0.5271317829457365,0.5892307692307692
7522,North Carolina Courage,Draw,0.4697508896797153,0.6080870917573873
7523,OL Reign,Draw,0.4772727272727273,0.3746268656716418
7523,Orlando Pride,Draw,0.640625,0.5278810408921933
7524,Houston Dash,Win,0.42924528301886794,0.4696132596685083
7524,Orlando Pride,Loss,0.4444444444444444,0.4600715137067938
7549,Iceland,Loss,0.5185185185185185,0.5821697099892589
7549,Nigeria,Win,0.44017094017094016,0.24265734265734265
7555,Colombia,Win,0.53125,0.45996275605214154
7555,Poland,Loss,0.4416243654822335,0.35284139100932993
7557,Iran,Draw,0.4930555555555556,0.42038216560509556
7557,Portugal,Draw,0.4495798319327731,0.6601941747572816
7563,Denmark,Draw,0.5133333333333333,0.42459893048128344
7563,France,Draw,0.4618055555555556,0.655241935483871
7570,Belgium,Win,0.47368421052631576,0.35765124555160144
7570,England,Loss,0.423963133640553,0.4375
7571,Colombia,Win,0.44954128440366975,0.44525547445255476
7571,Senegal,Loss,0.5405405405405406,0.394919168591224
7572,Japan,Loss,0.4439252336448598,0.4602272727272727
7572,Poland,Win,0.507177033492823,0.6226148409893993
7576,Portugal,Draw,0.5,0.3747697974217311
7576,Spain,Draw,0.4462809917355372,0.4868830591373944
7580,Argentina,Loss,0.4268292682926829,0.47225725094577553
7580,France,Win,0.3374233128834356,0.6804222648752399
8649,France,Win,0.4954545454545455,0.3444857496902107
8649,Uruguay,Loss,0.5108695652173914,0.4100877192982456
8651,England,Win,0.40086206896551724,0.4190163934426229
8651,Sweden,Loss,0.5377358490566038,0.45233463035019456
8657,Belgium,Win,0.38738738738738737,0.6123822341857336
8657,England,Loss,0.375,0.6104594330400782
9602,Barcelona,Win,0.3682170542635659,0.5360721442885772
9602,Getafe,Loss,0.55625,0.4457409568261377
9620,Barcelona,Win,0.33043478260869563,0.6404066073697586
9620,Girona,Loss,0.4098360655737705,0.5158878504672897
9695,Barcelona,Draw,0.4108527131782946,0.5618279569892473
9695,Valencia,Draw,0.45604395604395603,0.5873983739837398
9783,Barcelona,Draw,0.44813278008298757,0.486827661909989
9783,Espanyol,Draw,0.5319148936170213,0.4658753709198813
9827,Barcelona,Draw,0.3112033195020747,0.5714285714285714
9827,Las Palmas,Draw,0.48366013071895425,0.5831578947368421
9889,Barcelona,Draw,0.41284403669724773,0.436
9889,Celta Vigo,Draw,0.48739495798319327,0.37212643678160917
16073,Atlético Madrid,Draw,0.4838709677419355,0.3133004926108374
16073,Barcelona,Draw,0.36213991769547327,0.39865771812080536
16079,Barcelona,Win,0.4106280193236715,0.4642683519688867
16079,Villarreal,Loss,0.4861878453038674,0.4987633965375103
16109,Barcelona,Win,0.38009049773755654,0.5290841584158416
16109,Celta Vigo,Loss,0.42857142857142855,0.5818422796554009
16120,Barcelona,Win,0.37407407407407406,0.49303996407723394
16120,Getafe,Loss,0.5035971223021583,0.4503597122302158
16131,Barcelona,Win,0.36904761904761907,0.5494565217391304
16131,Eibar,Loss,0.5544554455445545,0.5701892744479495
16196,Barcelona,Win,0.3333333333333333,0.40385812072184196
16196,Real Madrid,Loss,0.42410714285714285,0.433112582781457
16240,Barcelona,Draw,0.4057377049180328,0.48206599713055953
16240,Villarreal,Draw,0.4268292682926829,0.5238589211618258
18235,Bayern Munich,Loss,0.36826347305389223,0.6790190735694823
18235,Inter Milan,Win,0.327683615819209,0.42045454545454547
18245,Liverpool,Loss,0.5612903225806452,0.47219413549039435
18245,Real Madrid,Win,0.5130434782608696,0.48373333333333335
19714,Chelsea FCW,Draw,0.4892703862660944,0.4533333333333333
19714,Manchester City WFC,Draw,0.3925925925925926,0.44312630844382417
19725,Brighton & Hove Albion WFC,Loss,0.5320754716981132,0.3906030855539972
19725,Liverpool WFC,Win,0.5887445887445888,0.32809611829944546
19727,Birmingham City WFC,Win,0.5257731958762887,0.4440203562340967
19727,Reading WFC,Loss,0.46619217081850534,0.40957886044591246
19747,Manchester City WFC,Draw,0.5413533834586466,0.445480631276901
19747,Reading WFC,Draw,0.4068627450980392,0.3902671755725191
19754,Arsenal WFC,Win,0.40236686390532544,0.5544871794871795
19754,Liverpool WFC,Loss,0.5477707006369427,0.45157068062827227
19761,Bristol City WFC,Win,0.53,0.24969987995198079
19761,Liverpool WFC,Loss,0.6577777777777778,0.38
19763,Birmingham City WFC,Win,0.3722943722943723,0.6268093140339837
19763,West Ham United LFC,Loss,0.46842105263157896,0.44202180376610506
19767,Everton LFC,Loss,0.46551724137931033,0.5667351129363449
19767,Reading WFC,Win,0.44274809160305345,0.52099533437014
19769,Brighton & Hove Albion WFC,Loss,0.5526315789473685,0.5269814502529511
19769,West Ham United LFC,Win,0.5921052631578947,0.44763513513513514
19770,Arsenal WFC,Loss,0.44360902255639095,0.5327573794096472
19770,Manchester City WFC,Win,0.38636363636363635,0.39473684210526316
19774,Bristol City WFC,Win,0.44,0.4984552008238929
19774,Everton LFC,Loss,0.6159695817490495,0.4135115070527097
19782,Birmingham City WFC,Win,0.515625,0.33768844221105526
19782,Reading WFC,Loss,0.47474747474747475,0.37362637362637363
19784,Brighton & Hove Albion WFC,Draw,0.5915492957746479,0.3438368860055607
19784,Everton LFC,Draw,0.6084905660377359,0.5484171322160148
19785,Arsenal WFC,Loss,0.5821596244131455,0.6011146496815286
19785,Chelsea FCW,Win,0.6276150627615062,0.4727551803530315
19787,Birmingham City WFC,Loss,0.5017667844522968,0.5015556938394524
